Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Precious Achiuwa,C,22,TOR,68,1602,13,0.502,0.243,0.209,9.1,22.5,15.5,7,1.1,2.3,10.9,18.3,,0.6,2,2.6,0.077,,-1.8,-0.6,-2.4,-0.2
2,Steven Adams,C,28,MEM,73,1925,17.8,0.563,0.003,0.513,18.1,21.5,19.8,15.6,1.6,2.7,19.1,12.1,,3.9,2.9,6.7,0.168,,1.1,0.9,2,1.9
3,Bam Adebayo,C,24,MIA,53,1726,21.8,0.606,0.009,0.45,8.7,26.4,17.7,17.8,2.2,2.6,14.8,25.1,,3.3,3.4,6.7,0.186,,1.7,2.2,3.9,2.6
4,Santi Aldama,PF,21,MEM,30,319,8.7,0.435,0.376,0.22,8,15.7,11.8,6.5,0.5,2.8,8.4,16.8,,-0.1,0.3,0.2,0.035,,-4.8,-1.3,-6.1,-0.3
5,LaMarcus Aldridge,C,36,BRK,45,1027,20.2,0.607,0.099,0.224,7.7,18.8,13.4,6.4,0.7,4,7.8,22.7,,2.1,1,3.1,0.145,,1.7,-0.7,1,0.8
6,Nickeil Alexander-Walker,SG,23,TOT,63,1446,10.3,0.472,0.493,0.16,2.8,11.3,7,15.9,1.5,1.5,11.4,24.2,,-1.2,1.2,-0.1,-0.002,,-2,-1.1,-3.1,-0.4
6,Nickeil Alexander-Walker,SG,23,NOP,50,1317,10.6,0.474,0.483,0.153,3,10.9,6.9,16.2,1.5,1.4,11.2,24.8,,-1.1,1,-0.1,-0.004,,-1.7,-1.3,-3,-0.3
6,Nickeil Alexander-Walker,SG,23,UTA,13,129,7.5,0.447,0.659,0.268,0.9,15.7,8.5,13.4,1.5,2.7,14.9,18.2,,-0.1,0.2,0,0.013,,-4.8,0.9,-4,-0.1
7,Grayson Allen,SG,26,MIL,64,1757,12.6,0.606,0.686,0.126,1.9,11,6.5,7.6,1.2,0.9,6.7,15.3,,2.7,1.3,4,0.109,,0.5,-0.3,0.3,1
8,Jarrett Allen,C,23,CLE,56,1809,23.1,0.698,0.018,0.428,12,24.5,18.4,8.2,1.2,3.7,12.7,18.1,,5.5,3.1,8.6,0.227,,2.7,1.2,3.9,2.7
9,Jose Alvarado,PG,23,NOP,49,744,16.6,0.525,0.379,0.172,3.4,10.2,6.8,26.6,4.2,0.9,11.1,18.3,,0.9,1,2,0.128,,-0.4,2.6,2.2,0.8
10,Justin Anderson,SF,28,TOT,14,294,11.3,0.524,0.618,0.213,1.5,15.6,8.5,14.1,1.3,0.9,7.6,15.4,,0.3,0.2,0.4,0.072,,-1.6,-1.3,-2.9,-0.1
10,Justin Anderson,SF,28,CLE,3,47,10.7,0.666,0.75,0.5,0,13.8,7.1,17.3,1.1,0,17,11.1,,0.1,0,0.1,0.127,,-3,0.4,-2.7,0
10,Justin Anderson,SF,28,IND,11,247,11.4,0.508,0.605,0.185,1.8,16,8.8,13.5,1.4,1.1,6.4,16.3,,0.2,0.1,0.3,0.062,,-1.3,-1.6,-2.9,-0.1
11,Kyle Anderson,PF,28,MEM,65,1397,14.2,0.496,0.23,0.22,4.9,21.6,13.1,15.9,2.5,2.6,12,16.1,,0.8,2.4,3.2,0.11,,-1.1,2.1,1,1.1
12,Giannis Antetokounmpo,PF,27,MIL,63,2075,32.4,0.635,0.196,0.622,6.6,30.4,18.8,32.1,1.5,4.2,12.3,35.1,,8.9,3.5,12.4,0.287,,7.8,3.6,11.4,7
13,Thanasis Antetokounmpo,SF,29,MIL,45,423,11.6,0.545,0.101,0.33,10.3,13.7,12,6.2,1.7,2.5,14.4,14.7,,0.3,0.5,0.8,0.088,,-3.9,0.1,-3.8,-0.2
14,Carmelo Anthony,PF,37,LAL,67,1744,14.9,0.584,0.553,0.226,3.8,13.5,8.6,5.4,1.2,2.6,7.1,20.3,,2.2,1.4,3.6,0.1,,0.4,-0.9,-0.5,0.7
15,Cole Anthony,PG,21,ORL,64,2057,13.6,0.519,0.429,0.278,1.6,16.3,8.9,29,1.1,0.8,14.3,25.1,,0,1.7,1.7,0.041,,-0.6,-0.6,-1.2,0.4
16,OG Anunoby,SF,24,TOR,47,1703,14.9,0.551,0.453,0.169,4.3,12.3,8.1,10.9,2.1,1.4,9.4,20.5,,1.9,1.9,3.8,0.107,,0.5,0.1,0.6,1.1
17,Ryan Arcidiacono,PG,27,NYK,7,39,10.2,0.917,0.667,0,0,8.4,4.1,3.8,0,0,14.3,7.9,,0.1,0,0.1,0.099,,-0.1,-1.1,-1.2,0
18,Trevor Ariza,SF,36,LAL,24,462,7,0.449,0.747,0.182,2.3,16.7,9.5,7.5,1.4,1.2,9.3,11,,-0.2,0.4,0.2,0.021,,-3.3,-0.2,-3.5,-0.2
19,D.J. Augustin,PG,34,TOT,50,787,10.9,0.643,0.738,0.193,1.4,7.3,4.4,17.4,0.9,0,19.5,14.7,,0.8,0.1,0.9,0.055,,-0.4,-2.5,-2.9,-0.2
19,D.J. Augustin,PG,34,HOU,34,510,9.7,0.596,0.706,0.279,1.5,7.3,4.4,20.6,0.9,0,22.8,16.4,,0.2,0,0.2,0.018,,-1.4,-2.9,-4.3,-0.3
19,D.J. Augustin,PG,34,LAL,16,277,12.9,0.753,0.803,0.015,1.2,7.4,4.3,11.5,0.9,0,10.7,11.6,,0.6,0.1,0.7,0.123,,1.3,-1.6,-0.3,0.1
20,Deni Avdija,SF,21,WAS,77,1835,11.7,0.539,0.446,0.252,2.9,20.9,12,11.2,1.5,1.9,11.4,15.9,,0.7,1.8,2.6,0.067,,-2.1,0.5,-1.6,0.2
21,Joel Ayayi,SG,21,WAS,7,20,3.4,0.167,0.167,0,5.6,10.9,8.3,25.5,0,0,0,13.3,,0,0,0,-0.095,,-4.2,-1.8,-6,0
22,Deandre Ayton,C,23,PHO,56,1652,21.8,0.658,0.026,0.211,9.5,27,18.6,7.2,1.1,2,10.9,21.3,,4,3,7,0.204,,2.2,0.5,2.7,2
23,Udoka Azubuike,C,22,UTA,17,195,17.6,0.743,0,0.224,10.5,28.9,20,0,0.3,5,18.2,14.7,,0.3,0.3,0.6,0.155,,-1.8,0.3,-1.5,0
24,Marvin Bagley III,PF,22,TOT,48,1146,15.8,0.551,0.217,0.226,9.7,22.7,16,5.2,0.9,1.4,7.4,19.8,,1.2,0.9,2.1,0.087,,-0.5,-1.8,-2.3,-0.1
24,Marvin Bagley III,PF,22,SAC,30,656,14.3,0.521,0.252,0.191,10.9,24.9,17.8,3.9,0.7,1.5,7.3,18.8,,0.5,0.4,0.9,0.069,,-1.1,-2.5,-3.5,-0.3
24,Marvin Bagley III,PF,22,DET,18,490,17.8,0.585,0.175,0.27,8,19.7,13.6,6.9,1.3,1.3,7.4,21.2,,0.7,0.4,1.1,0.11,,0.4,-1,-0.6,0.2
25,LaMelo Ball,PG,20,CHO,71,2295,19.5,0.548,0.446,0.199,4.7,17.3,10.9,35.2,2.4,1.2,14.8,28.1,,3.1,2.3,5.4,0.113,,3.1,0.2,3.3,3.1
26,Lonzo Ball,PG,24,CHI,35,1212,14.5,0.575,0.679,0.073,3.3,14.2,8.8,20,2.6,2.2,17.2,17.4,,0.9,1.4,2.3,0.091,,0.9,1.5,2.5,1.4
27,Mo Bamba,C,23,ORL,67,1733,16,0.576,0.439,0.114,8.6,24.2,16.4,7.2,1.1,5.8,11,17,,1.5,2.6,4.1,0.113,,-0.5,0.9,0.4,1
28,Desmond Bane,SF,23,MEM,73,2186,17.6,0.59,0.479,0.138,2.1,13.7,7.7,13.7,1.8,1.2,8.6,23.1,,4.4,2.7,7,0.154,,2.5,0.1,2.7,2.6
29,Dalano Banton,SF,22,TOR,63,691,10,0.463,0.252,0.208,5.7,14,9.6,19.7,2,1.4,19.4,17,,-0.4,0.8,0.4,0.029,,-3.4,0.3,-3.1,-0.2
30,Cat Barber,PG,27,ATL,3,13,-11.2,0,0,1,8.5,16.7,12.6,26.8,0,0,14.8,22.7,,-0.1,0,-0.1,-0.451,,-15.8,-7.6,-23.5,-0.1
31,Harrison Barnes,PF,29,SAC,73,2483,16,0.628,0.429,0.504,3.4,14.7,9,10.7,1,0.5,10.6,18.9,,5.1,0.9,6.1,0.117,,1.6,-1.3,0.3,1.5
32,Scottie Barnes,PF,20,TOR,69,2451,16.4,0.551,0.199,0.234,7.7,15.7,11.5,15,1.6,2.2,11.9,19.1,,3.4,2.8,6.2,0.122,,0.6,0.4,1,1.8
33,RJ Barrett,SF,21,NYK,67,2324,13.7,0.513,0.338,0.336,2.9,15.5,9.1,14.4,0.9,0.7,10,27.3,,0.2,2,2.1,0.044,,-0.3,-1.4,-1.7,0.2
34,Will Barton,SG,31,DEN,68,2171,13.4,0.544,0.474,0.138,2.3,14.3,8.5,17.7,1.2,1.3,11.9,21,,1.1,1.9,3,0.066,,0.3,-0.9,-0.6,0.8
35,Paris Bass,SF,26,PHO,2,7,14,0.436,0.333,0.333,31.8,29.8,30.8,0,6.9,0,22.5,54.8,,0,0,0,-0.167,,-11.2,-1.3,-12.4,0
36,Charles Bassey,PF,21,PHI,23,168,21.6,0.66,0.085,0.255,14.8,26.1,20.6,6.6,1.5,9.1,13.3,16.2,,0.4,0.3,0.8,0.222,,-0.3,2.2,1.9,0.2
