Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Precious Achiuwa,C,22,TOR,71,1686,12.8,0.504,0.253,0.219,8.8,21.8,15,6.9,1.1,2.3,11.2,18.3,,0.5,2,2.6,0.073,,-1.9,-0.6,-2.5,-0.2
2,Steven Adams,C,28,MEM,75,1977,17.7,0.559,0.003,0.522,17.9,21.9,19.8,16,1.6,2.7,19.4,12.1,,3.8,3,6.8,0.165,,1,1,2,2
3,Bam Adebayo,C,24,MIA,55,1792,21.7,0.607,0.008,0.462,8.7,26.3,17.7,17.4,2.2,2.6,14.6,25,,3.5,3.5,7,0.187,,1.6,2.1,3.7,2.6
4,Santi Aldama,PF,21,MEM,31,329,9.3,0.439,0.371,0.224,8.4,16.3,12.2,6.8,0.6,2.7,8.6,17.4,,-0.1,0.4,0.3,0.039,,-4.7,-1.3,-5.9,-0.3
5,LaMarcus Aldridge,C,36,BRK,47,1050,19.7,0.604,0.1,0.223,7.7,18.7,13.3,6.4,0.6,4,8,22.4,,2.1,1,3.1,0.141,,1.3,-0.6,0.7,0.7
6,Nickeil Alexander-Walker,SG,23,TOT,64,1460,10.5,0.475,0.495,0.161,2.8,11.5,7.1,16,1.6,1.5,11.4,24.1,,-1.1,1.2,0.1,0.004,,-1.8,-1.1,-2.9,-0.3
6,Nickeil Alexander-Walker,SG,23,NOP,50,1317,10.6,0.474,0.483,0.153,3,11,6.9,16.2,1.5,1.4,11.2,24.8,,-1.1,1,-0.1,-0.002,,-1.7,-1.3,-3,-0.3
6,Nickeil Alexander-Walker,SG,23,UTA,14,143,10.1,0.497,0.667,0.267,0.8,16.3,8.8,14.2,1.7,2.5,13.7,17.8,,0,0.2,0.2,0.062,,-3,1.2,-1.9,0
7,Grayson Allen,SG,26,MIL,66,1805,12.8,0.609,0.684,0.13,1.9,10.9,6.5,7.6,1.2,1,6.7,15.3,,2.8,1.4,4.2,0.111,,0.6,-0.2,0.4,1.1
8,Jarrett Allen,C,23,CLE,56,1809,23.1,0.698,0.018,0.428,12,24.5,18.4,8.2,1.2,3.7,12.7,18.1,,5.4,3.1,8.5,0.226,,2.7,1.2,3.9,2.7
9,Jose Alvarado,PG,23,NOP,52,789,16.4,0.518,0.387,0.179,3.2,10,6.5,27.4,4.3,0.9,11.1,18.1,,1,1.1,2.1,0.127,,-0.5,2.7,2.2,0.8
10,Justin Anderson,SF,28,TOT,16,316,10.4,0.493,0.621,0.2,1.4,14.9,8.1,14.2,1.2,1.7,7.2,15.1,,0.2,0.2,0.4,0.056,,-1.9,-1.3,-3.2,-0.1
10,Justin Anderson,SF,28,CLE,3,47,10.7,0.666,0.75,0.5,0,13.8,7,17.3,1.1,0,17,11.1,,0.1,0,0.1,0.125,,-3,0.4,-2.7,0
10,Justin Anderson,SF,28,IND,13,269,10.3,0.475,0.609,0.172,1.6,15.1,8.3,13.7,1.3,1.9,6,15.9,,0.1,0.1,0.2,0.043,,-1.7,-1.6,-3.3,-0.1
11,Kyle Anderson,PF,28,MEM,67,1437,14.2,0.501,0.23,0.223,4.8,21.6,13,16.1,2.5,2.7,12.2,16.2,,0.8,2.5,3.3,0.11,,-1.1,2.1,1,1.1
12,Giannis Antetokounmpo,PF,27,MIL,66,2177,31.9,0.632,0.194,0.613,6.6,30.2,18.6,31.5,1.5,4,12.3,34.9,,9,3.6,12.7,0.279,,7.5,3.4,10.9,7.1
13,Thanasis Antetokounmpo,SF,29,MIL,46,427,11.8,0.544,0.099,0.324,10.2,13.6,11.9,6.4,1.8,2.5,14.2,14.8,,0.3,0.5,0.8,0.089,,-3.9,0.2,-3.6,-0.2
14,Carmelo Anthony,PF,37,LAL,69,1793,14.8,0.579,0.549,0.22,3.7,13.5,8.6,5.6,1.3,2.6,6.9,20.4,,2.2,1.4,3.6,0.096,,0.3,-0.9,-0.5,0.7
