,,,,,,,,,,,,,,,,,
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24▼
Chicago Cubs,0.212,0.285,0.348,0.633,0.257,2.80%,24.30%,8.30%,88.8,38.70%,25.50%,46.60%,19.80%,0.91,18.2,7.40%,169.6
Washington Nationals,0.234,0.3,0.376,0.677,0.292,2.60%,24.50%,7.80%,88.3,36.70%,26.50%,43.10%,20.50%,0.79,9.7,6.60%,117.2
Cleveland Indians,0.243,0.304,0.407,0.711,0.291,3.10%,23.20%,7.60%,88.9,38.70%,26.90%,46.80%,19.60%,0.9,11.3,8.30%,86.3
New York Mets,0.254,0.311,0.395,0.706,0.312,2.50%,23.00%,7.20%,88.7,38.50%,26.70%,43.80%,20.70%,0.82,11.8,7.40%,85.2
Toronto Blue Jays,0.242,0.305,0.398,0.703,0.283,3.00%,21.50%,7.50%,89.5,41.40%,23.60%,46.50%,20.90%,0.89,9.5,7.70%,79.2
San Francisco Giants,0.243,0.303,0.392,0.695,0.29,2.60%,21.60%,7.30%,88.8,38.00%,25.60%,44.70%,20.50%,0.84,9.3,8.90%,79
Los Angeles Dodgers,0.233,0.298,0.375,0.674,0.291,2.70%,25.10%,7.70%,87.6,35.20%,26.30%,42.30%,21.90%,0.76,8.5,6.20%,72.9
Boston Red Sox,0.246,0.314,0.397,0.711,0.295,2.90%,22.40%,8.10%,88.5,37.80%,23.00%,41.40%,25.80%,0.73,3.4,2.90%,54.7
New York Yankees,0.248,0.31,0.424,0.734,0.294,3.60%,23.10%,7.40%,88.8,39.80%,23.70%,46.70%,21.40%,0.9,6.3,2.30%,35.5
Kansas City Royals,0.259,0.327,0.423,0.75,0.301,3.30%,20.80%,8.40%,89.4,40.70%,23.20%,43.90%,24.30%,0.81,4.8,2.00%,25.6
Houston Astros,0.256,0.314,0.424,0.737,0.308,2.90%,22.60%,7.30%,88.4,38.10%,25.10%,45.40%,22.20%,0.85,5.8,2.00%,20.5
Baltimore Orioles,0.258,0.328,0.421,0.75,0.301,3.00%,20.40%,8.90%,89.1,40.00%,25.30%,45.20%,20.80%,0.84,6.5,6.70%,17.3
Seattle Mariners,0.253,0.314,0.425,0.739,0.294,3.50%,21.40%,7.50%,89,38.70%,25.70%,43.30%,22.00%,0.78,2.9,-0.80%,11.7
Chicago White Sox,0.257,0.326,0.419,0.746,0.3,3.00%,20.50%,8.40%,88.9,38.10%,26.20%,42.80%,22.30%,0.77,-1.2,-0.20%,3.7
Miami Marlins,0.251,0.329,0.394,0.724,0.307,2.50%,22.40%,9.70%,88.7,38.20%,27.80%,43.00%,20.50%,0.78,0,0.00%,3.1
Detroit Tigers,0.26,0.32,0.421,0.741,0.302,3.00%,20.40%,7.60%,88.7,39.10%,23.10%,44.00%,22.20%,0.81,3,0.30%,1.4
Tampa Bay Rays,0.255,0.318,0.416,0.734,0.3,3.50%,22.30%,8.10%,89.7,40.40%,23.70%,41.20%,25.40%,0.71,-4,-0.80%,-2.4
St. Louis Cardinals,0.258,0.32,0.402,0.722,0.307,2.60%,20.90%,7.70%,87.8,36.00%,25.40%,49.00%,18.30%,1,-1.5,-1.10%,-4
Texas Rangers,0.26,0.329,0.424,0.753,0.293,3.30%,18.70%,8.60%,88.7,39.00%,25.40%,45.30%,21.70%,0.85,4.6,5.10%,-6.9
Milwaukee Brewers,0.263,0.333,0.426,0.76,0.303,2.90%,19.00%,8.60%,88.3,38.20%,26.30%,45.90%,19.40%,0.88,1.2,-0.80%,-18.3
Los Angeles Angels,0.269,0.334,0.44,0.774,0.303,3.40%,18.60%,8.10%,89.2,39.80%,25.70%,41.10%,23.60%,0.71,-7,-2.00%,-29
Pittsburgh Pirates,0.267,0.336,0.436,0.772,0.311,2.90%,19.60%,8.50%,88.3,37.50%,25.70%,46.30%,19.20%,0.91,-2.8,-1.10%,-42.4
Oakland Athletics,0.263,0.322,0.422,0.744,0.301,3.00%,19.30%,7.60%,89.3,40.70%,25.70%,46.20%,19.70%,0.88,-6.3,-1.10%,-53
Atlanta Braves,0.256,0.328,0.416,0.744,0.296,2.80%,19.60%,8.80%,89.6,41.80%,25.40%,44.30%,21.70%,0.83,-2.9,-1.20%,-71.5
San Diego Padres,0.258,0.33,0.422,0.753,0.298,2.90%,19.60%,9.10%,89.4,41.30%,25.00%,46.30%,20.50%,0.89,-4.5,0.50%,-73.3
Philadelphia Phillies,0.265,0.325,0.448,0.773,0.307,3.50%,21.10%,7.60%,88.9,38.70%,28.50%,40.90%,21.10%,0.72,-2.3,1.40%,-90.2
Colorado Rockies,0.274,0.345,0.446,0.79,0.321,2.90%,19.50%,8.70%,88.5,40.40%,26.60%,48.70%,17.70%,0.99,-11.4,-3.60%,-96.4
Cincinnati Reds,0.263,0.345,0.456,0.801,0.294,4.10%,19.60%,10.00%,88.6,39.10%,28.20%,41.50%,21.40%,0.73,-12,-2.70%,-138.1
Arizona Diamondbacks,0.275,0.348,0.454,0.801,0.323,3.10%,20.50%,9.40%,89.6,42.50%,28.00%,45.70%,18.60%,0.87,-11.8,-2.00%,-142.3
Minnesota Twins,0.283,0.34,0.466,0.806,0.32,3.50%,18.90%,7.60%,89.9,42.50%,26.10%,42.80%,23.10%,0.77,-13.3,-1.60%,-156.3
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
